midi_file_path,artist_name,song_title,sentiment,keywords,spotify_metadata,topics,prompt
archive-new\.38 Special\Caught Up In You.mid,.38 Special,Caught Up In You,0.20604437229437228,"['good love slip away', 'played around enough', 'never wanna get', 'never wanna get', 'never wanna get', 'never wanna get', 'feeling comes shining', 'comes shining', 'walk away', 'walk away']","{'energy': 0.681, 'acousticness': 0.0229, 'danceability': 0.425, 'instrumentalness': 0.000219, 'liveness': 0.0543, 'speechiness': 0.0316, 'loudness': -8.604, 'tempo': 131.011, 'time_signature': 4, 'valence': 0.933, 'genre': ['album rock', 'classic rock', 'country rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock'], 'popularity': 65}",love like know say wanna,".38 Special's song 'Caught Up In You' has a positive tone and includes themes like good love slip away, played around enough, never wanna get and belongs to genres such as album rock, classic rock with a tempo of around 131.011 BPM. The lyrics often reflect topics such as love like know say wanna"
archive-new\.38 Special\Fantasy Girl.mid,.38 Special,Fantasy Girl,0.13740740740740742,"['sorrow broken tomorrows', 'might also like', 'fantasy girl hold', 'fantasy girl hold', 'fantasy girl hold', 'fantasy girl hold', 'fantasy girl', 'fantasy girl', 'fantasy girl', 'fantasy girl']","{'energy': 0.775, 'acousticness': 0.0531, 'danceability': 0.418, 'instrumentalness': 0.00125, 'liveness': 0.0932, 'speechiness': 0.0333, 'loudness': -9.591, 'tempo': 123.524, 'time_signature': 4, 'valence': 0.845, 'genre': ['album rock', 'classic rock', 'country rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock'], 'popularity': 45}",go time know world night,".38 Special's song 'Fantasy Girl' has a positive tone and includes themes like sorrow broken tomorrows, might also like, fantasy girl hold and belongs to genres such as album rock, classic rock with a tempo of around 123.524 BPM. The lyrics often reflect topics such as go time know world night"
"archive-new\10,000_Maniacs\A_Campfire_Song.mid","10,000 Maniacs",A Campfire Song,-0.056565656565656555,"['lying cold six deep', 'lying cold six deep', 'might also likesomething', 'lying cold never', 'time hey hey', 'dig 500 men', 'wanted something', 'taunted something', 'swim half', 'rest away']","{'energy': 0.462, 'acousticness': 0.0739, 'danceability': 0.639, 'instrumentalness': 0, 'liveness': 0.157, 'speechiness': 0.0311, 'loudness': -15.233, 'tempo': 132.061, 'time_signature': 4, 'valence': 0.785, 'genre': ['ectofolk', 'lilith', 'new wave', 'new wave pop', 'pop rock', 'singer-songwriter'], 'popularity': 35}",go time know world night,"10,000 Maniacs's song 'A Campfire Song' has a negative tone and includes themes like lying cold six deep, lying cold six deep, might also likesomething and belongs to genres such as ectofolk, lilith with a tempo of around 132.061 BPM. The lyrics often reflect topics such as go time know world night"
archive-new\101_Strings\Theme_From_The_Godfather.mid,101 Strings,Theme From The Godfather,0.0,[],"{'energy': 0.368, 'acousticness': 0.96, 'danceability': 0.208, 'instrumentalness': 0.914, 'liveness': 0.201, 'speechiness': 0.0318, 'loudness': -11.125, 'tempo': 136.811, 'time_signature': 4, 'valence': 0.18, 'genre': ['easy listening'], 'popularity': 16}",love like know say wanna,101 Strings's song 'Theme From The Godfather' has a neutral tone and belongs to genres such as easy listening with a tempo of around 136.811 BPM. The lyrics often reflect topics such as love like know say wanna
archive-new\10cc\Dreadlock_Holiday.1.mid,10cc,Dreadlock Holiday.1,-0.05323809523809525,"['dreadlock holiday dreadlock holiday', 'swimming pool sinkin', 'saw four faces', 'dark voice beside', 'dark voice beside', 'like something harder', 'dreadlock holiday', 'dreadlock holiday', 'dreadlock holiday', 'dreadlock holiday']","{'energy': 0.777, 'acousticness': 0.362, 'danceability': 0.663, 'instrumentalness': 2.36e-05, 'liveness': 0.639, 'speechiness': 0.0273, 'loudness': -5.17, 'tempo': 101.555, 'time_signature': 4, 'valence': 0.748, 'genre': ['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'new romantic', 'soft rock', 'yacht rock'], 'popularity': 11}",love like know say wanna,"10cc's song 'Dreadlock Holiday.1' has a negative tone and includes themes like dreadlock holiday dreadlock holiday, swimming pool sinkin, saw four faces and belongs to genres such as album rock, art rock with a tempo of around 101.555 BPM. The lyrics often reflect topics such as love like know say wanna"
archive-new\10cc\Dreadlock_Holiday.mid,10cc,Dreadlock Holiday,-0.05323809523809525,"['dreadlock holiday dreadlock holiday', 'swimming pool sinkin', 'saw four faces', 'dark voice beside', 'dark voice beside', 'like something harder', 'dreadlock holiday', 'dreadlock holiday', 'dreadlock holiday', 'dreadlock holiday']","{'energy': 0.38, 'acousticness': 0.541, 'danceability': 0.837, 'instrumentalness': 0.00789, 'liveness': 0.198, 'speechiness': 0.064, 'loudness': -13.341, 'tempo': 104.995, 'time_signature': 4, 'valence': 0.892, 'genre': ['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'new romantic', 'soft rock', 'yacht rock'], 'popularity': 67}",love like know say wanna,"10cc's song 'Dreadlock Holiday' has a negative tone and includes themes like dreadlock holiday dreadlock holiday, swimming pool sinkin, saw four faces and belongs to genres such as album rock, art rock with a tempo of around 104.995 BPM. The lyrics often reflect topics such as love like know say wanna"
archive-new\10cc\Im_Not_In_Love.1.mid,10cc,Im Not In Love.1,-0.008189655172413782,"['cry big boys', 'cry big boys', 'cry big boys', 'cry big boys', 'cry big boys', 'long time ooh', 'big boys', 'cry ...', 'long time', 'long time']","{'energy': 0.562, 'acousticness': 0.705, 'danceability': 0.389, 'instrumentalness': 0.0022, 'liveness': 0.217, 'speechiness': 0.0609, 'loudness': -14.028, 'tempo': 133.544, 'time_signature': 4, 'valence': 0.218, 'genre': ['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'new romantic', 'soft rock', 'yacht rock'], 'popularity': 25}",get got call face back,"10cc's song 'Im Not In Love.1' has a negative tone and includes themes like cry big boys, cry big boys, cry big boys and belongs to genres such as album rock, art rock with a tempo of around 133.544 BPM. The lyrics often reflect topics such as get got call face back"
archive-new\10cc\Im_Not_In_Love.2.mid,10cc,Im Not In Love.2,-0.008189655172413782,"['cry big boys', 'cry big boys', 'cry big boys', 'cry big boys', 'cry big boys', 'long time ooh', 'big boys', 'cry ...', 'long time', 'long time']","{'energy': 0.788, 'acousticness': 0.769, 'danceability': 0.346, 'instrumentalness': 0.000499, 'liveness': 0.266, 'speechiness': 0.0748, 'loudness': -8.17, 'tempo': 133.887, 'time_signature': 4, 'valence': 0.148, 'genre': ['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'new romantic', 'soft rock', 'yacht rock'], 'popularity': 1}",get got call face back,"10cc's song 'Im Not In Love.2' has a negative tone and includes themes like cry big boys, cry big boys, cry big boys and belongs to genres such as album rock, art rock with a tempo of around 133.887 BPM. The lyrics often reflect topics such as get got call face back"
archive-new\10cc\Im_Not_In_Love.mid,10cc,Im Not In Love,-0.008189655172413782,"['cry big boys', 'cry big boys', 'cry big boys', 'cry big boys', 'cry big boys', 'long time ooh', 'big boys', 'cry ...', 'long time', 'long time']","{'energy': 0.523, 'acousticness': 0.685, 'danceability': 0.404, 'instrumentalness': 0.000498, 'liveness': 0.282, 'speechiness': 0.0575, 'loudness': -15.7, 'tempo': 133.738, 'time_signature': 4, 'valence': 0.164, 'genre': ['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'new romantic', 'soft rock', 'yacht rock'], 'popularity': 72}",get got call face back,"10cc's song 'Im Not In Love' has a negative tone and includes themes like cry big boys, cry big boys, cry big boys and belongs to genres such as album rock, art rock with a tempo of around 133.738 BPM. The lyrics often reflect topics such as get got call face back"
archive-new\10cc\The_Things_We_Do_for_Love.mid,10cc,The Things We Do for Love,0.3622222222222222,"['love .... 5embed like walking', 'compromise would surely help', 'many lonely souls', 'many broken hearts', 'might also like', 'like walking', 'situation agree', 'gonna break', 'gonna break', 'love communication']","{'energy': 0.528, 'acousticness': 0.163, 'danceability': 0.637, 'instrumentalness': 0, 'liveness': 0.122, 'speechiness': 0.0394, 'loudness': -9.837, 'tempo': 106.949, 'time_signature': 4, 'valence': 0.781, 'genre': ['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'new romantic', 'soft rock', 'yacht rock'], 'popularity': 69}",love like know say wanna,"10cc's song 'The Things We Do for Love' has a positive tone and includes themes like love .... 5embed like walking, compromise would surely help, many lonely souls and belongs to genres such as album rock, art rock with a tempo of around 106.949 BPM. The lyrics often reflect topics such as love like know say wanna"
